pid,trial,task,group,peak_N
041,SJ_pre2,SJ,Vasti,6723.72979158
041,SJ_pre2,SJ,Gluteus maximus,1564.67016198
041,SJ_pre2,SJ,Gluteus medius,2407.41944573
041,SJ_pre2,SJ,Gluteus minimus,1248.24787371
041,SJ_pre2,SJ,Hamstrings,3906.95226963
041,SJ_pre2,SJ,Adductors,3344.97890396
041,SJ_pre2,SJ,Triceps surae,6400.9574231
041,SJ_pre2,SJ,Iliopsoas,2418.64786297
041,SJ_pre2,SJ,Rectus femoris,2526.16160796
041,SJ_pre2,SJ,Tibialis anterior,1663.98319511
041,SJ_pre2,SJ,Piriformis,928.27891683
041,SJ_pre3,SJ,Vasti,6793.95031784
041,SJ_pre3,SJ,Gluteus maximus,2492.44131783
041,SJ_pre3,SJ,Gluteus medius,2423.03348109
041,SJ_pre3,SJ,Gluteus minimus,1246.5401776400001
041,SJ_pre3,SJ,Hamstrings,4176.25632329
041,SJ_pre3,SJ,Adductors,3459.52115474
041,SJ_pre3,SJ,Triceps surae,6761.14599318
041,SJ_pre3,SJ,Iliopsoas,2314.1212328399997
041,SJ_pre3,SJ,Rectus femoris,2527.64232581
041,SJ_pre3,SJ,Tibialis anterior,1667.33777403
041,SJ_pre3,SJ,Piriformis,879.02561057
041,SJ_pre4,SJ,Vasti,6696.1598717100005
041,SJ_pre4,SJ,Gluteus maximus,1488.08119771
041,SJ_pre4,SJ,Gluteus medius,2363.43787125
041,SJ_pre4,SJ,Gluteus minimus,1191.83228979
041,SJ_pre4,SJ,Hamstrings,4420.423231639999
041,SJ_pre4,SJ,Adductors,3396.95140857
041,SJ_pre4,SJ,Triceps surae,5857.959853699999
041,SJ_pre4,SJ,Iliopsoas,3001.82557752
041,SJ_pre4,SJ,Rectus femoris,2492.15824033
041,SJ_pre4,SJ,Tibialis anterior,1665.16352198
041,SJ_pre4,SJ,Piriformis,879.96820616
041,SJ_pre5,SJ,Vasti,6840.360283280001
041,SJ_pre5,SJ,Gluteus maximus,1478.95498289
041,SJ_pre5,SJ,Gluteus medius,2406.54700265
041,SJ_pre5,SJ,Gluteus minimus,1264.3110556699999
041,SJ_pre5,SJ,Hamstrings,4485.60263198
041,SJ_pre5,SJ,Adductors,3432.8645717199997
041,SJ_pre5,SJ,Triceps surae,6962.87927856
041,SJ_pre5,SJ,Iliopsoas,2746.42287793
041,SJ_pre5,SJ,Rectus femoris,2543.55350832
041,SJ_pre5,SJ,Tibialis anterior,1658.60977669
041,SJ_pre5,SJ,Piriformis,872.98526511
044,SJ_pre1,SJ,Vasti,5985.42013735
044,SJ_pre1,SJ,Gluteus maximus,1325.35600259
